[00:18:25] [ServerMain/INFO]: Building unoptimized datafixer
[00:18:28] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:18:32] [ServerMain/INFO]: Loaded 7 recipes
[00:18:32] [ServerMain/INFO]: Loaded 1179 advancements
[00:18:35] [Server thread/INFO]: Starting minecraft server version 1.19.2
[00:18:35] [Server thread/INFO]: Loading properties
[00:18:35] [Server thread/INFO]: Default game type: SURVIVAL
[00:18:35] [Server thread/INFO]: Generating keypair
[00:18:35] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:18:35] [Server thread/INFO]: Using epoll channel type
[00:18:36] [Server thread/INFO]: Preparing level "world"
[00:19:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:19:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[00:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[00:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[00:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[00:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[00:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[00:20:50] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[00:20:50] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[00:20:50] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[00:20:52] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[00:20:52] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[00:20:52] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[00:20:52] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[00:20:52] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[00:20:53] [Worker-Main-1/INFO]: Preparing spawn area: 25%
[00:20:53] [Worker-Main-1/INFO]: Preparing spawn area: 25%
[00:20:54] [Worker-Main-1/INFO]: Preparing spawn area: 29%
[00:20:55] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[00:20:55] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[00:20:55] [Worker-Main-1/INFO]: Preparing spawn area: 38%
[00:20:57] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[00:20:57] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[00:20:57] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[00:20:57] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[00:20:58] [Worker-Main-1/INFO]: Preparing spawn area: 48%
[00:20:58] [Worker-Main-1/INFO]: Preparing spawn area: 48%
[00:20:59] [Worker-Main-1/INFO]: Preparing spawn area: 50%
[00:20:59] [Worker-Main-1/INFO]: Preparing spawn area: 50%
[00:21:01] [Worker-Main-1/INFO]: Preparing spawn area: 55%
[00:21:01] [Worker-Main-1/INFO]: Preparing spawn area: 55%
[00:21:01] [Worker-Main-1/INFO]: Preparing spawn area: 55%
[00:21:01] [Worker-Main-1/INFO]: Preparing spawn area: 55%
[00:21:02] [Worker-Main-1/INFO]: Preparing spawn area: 61%
[00:21:02] [Worker-Main-1/INFO]: Preparing spawn area: 61%
[00:21:03] [Worker-Main-1/INFO]: Preparing spawn area: 66%
[00:21:03] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[00:21:04] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[00:21:04] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[00:21:06] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[00:21:06] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[00:21:06] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[00:21:06] [Worker-Main-1/INFO]: Preparing spawn area: 76%
[00:21:07] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[00:21:08] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[00:21:08] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[00:21:08] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[00:21:09] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[00:21:09] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[00:21:11] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[00:21:11] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[00:21:11] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[00:21:12] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[00:21:12] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[00:21:13] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[00:21:13] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[00:21:17] [Server thread/INFO]: Time elapsed: 126983 ms
[00:21:17] [Server thread/INFO]: Done (161.038s)! For help, type "help"
[00:21:25] [User Authenticator #1/INFO]: UUID of player Golf0ned is 7dafb90d-7e1b-4982-b17b-f53f92df3dfc
[00:21:25] [Server thread/INFO]: Golf0ned[/98.59.142.102:63583] logged in with entity id 334 at (26.5, 66.0, 9.5)
[00:21:25] [Server thread/INFO]: Golf0ned joined the game
[00:21:27] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2085ms or 41 ticks behind
[00:21:30] [User Authenticator #2/INFO]: UUID of player clarinetcombo is bf9e7ebe-6543-4af3-80ba-d549e7450c13
[00:21:30] [Server thread/INFO]: clarinetcombo[/76.104.177.115:46010] logged in with entity id 461 at (25.5, 90.0, 13.5)
[00:21:30] [Server thread/INFO]: clarinetcombo joined the game
[00:22:02] [Server thread/INFO]: Nothing changed. The player already is an operator
[00:23:09] [Server thread/INFO]: clarinetcombo lost connection: Disconnected
[00:23:09] [Server thread/INFO]: clarinetcombo left the game
[00:23:10] [Server thread/INFO]: Golf0ned lost connection: Disconnected
[00:23:10] [Server thread/INFO]: Golf0ned left the game
[00:23:13] [Server thread/INFO]: Stopping the server
[00:23:13] [Server thread/INFO]: Stopping server
[00:23:13] [Server thread/INFO]: Saving players
[00:23:13] [Server thread/INFO]: Saving worlds
[00:23:17] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[00:23:27] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[00:23:27] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[00:23:27] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[00:23:27] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[00:23:27] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[00:23:27] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
